Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
408,40.7008,5.516905806,4.559182256,3.241931059
409,40.8008,5.438625988,4.639706032,2.263656818
410,40.9008,6.428329505,4.638938591,2.264076383
411,41.0008,6.215568554,4.249483524,2.628506288
412,41.1008,6.301177726,4.503219331,2.719785781
413,41.2008,5.140241628,4.19232765,2.447122244
414,41.3008,5.810377751,4.562112714,3.446121869
415,41.4008,5.74923583,4.288990583,2.292412647
416,41.5008,6.010954801,4.765135817,2.763200129
417,41.6008,5.304017218,3.157162461,2.335943452
418,41.7008,4.97346553,4.239318035,3.119208379
419,41.8008,5.2541736,4.262456258,3.066806986
420,41.9008,5.672473784,4.499646039,3.573616495
421,42.0008,5.33421894,5.605517359,3.717839663
422,42.1008,5.281656286,5.346200143,2.561636787
423,42.2008,6.414825825,5.137786641,4.636870372
424,42.3008,5.705596274,4.423984487,3.055443227
425,42.4008,6.00160634,3.510725659,2.388370363
426,42.5008,6.084806267,4.292606664,3.893118374
427,42.6009,5.790529732,3.855082379,3.156637837
428,42.7009,5.300155788,5.404131842,4.629926102
429,42.8009,6.162791533,4.604133479,3.256621961
430,42.9009,6.287124696,4.582627239,6.650148611
431,43.0009,6.384960285,5.16025276,4.309611389
432,43.1009,5.786959623,4.657080373,4.150102512
433,43.2009,5.191497173,5.544868803,3.021722521
434,43.3009,6.043675511,5.101267203,4.269750366
435,43.4009,6.129985879,5.204968736,3.713451434
436,43.5009,6.580513595,4.598809092,2.818481392
437,43.6009,6.623930025,8.388825082,2.409615085
438,43.7009,5.622482371,5.751590584,3.099268962
439,43.8009,5.793489822,6.06264017,3.858265424
440,43.9009,6.385319409,4.828224614,2.665955191
441,44.0009,5.730671602,4.209833978,4.090439355
442,44.1009,6.549156173,4.496139123,2.180168487
443,44.2009,7.651354517,5.426044887,2.140809453
444,44.3009,6.827921019,4.905832719,2.336018417
445,44.4009,8.242238058,5.754346764,2.194509982
446,44.5009,5.871297598,4.998829249,3.333289661
447,44.6009,7.10847331,5.022599634,4.554031734
448,44.7009,6.560037945,5.13619719,5.442303409
449,44.8009,8.76103518,5.118915936,4.015390172
450,44.9009,9.462742431,5.731015524,3.737719813
451,45.0009,7.861380116,6.012145536,2.451146837
452,45.1009,7.086207323,12.17083039,3.122026119
453,45.2009,6.632090918,5.456734367,3.185172067
454,45.3009,6.827271331,4.932675262,1.968388468
455,45.4009,7.58589527,5.535567245,2.994904791
456,45.5009,6.9670273,4.430069238,3.341899161
457,45.6009,6.494116478,5.943071996,2.706337582
458,45.7009,6.972625303,6.137999775,1.980598184
459,45.8009,8.945437709,4.589625894,3.880747555
460,45.9009,6.77554506,5.318826121,2.121741997
461,46.0009,7.05680033,5.967981873,4.813182047
462,46.1009,6.137881976,5.540948343,5.314449727
463,46.2009,5.885067186,8.012741055,5.789274401
464,46.3009,5.525286034,5.517553603,2.131389113
465,46.4009,6.101495232,5.552512173,4.587101601
466,46.5009,5.751552365,5.376050595,3.625138338
467,46.6009,5.481080553,5.140747769,3.300280282
468,46.7009,6.610142873,5.221782704,4.70195001
469,46.8009,6.710369273,5.577844299,6.203216519
470,46.9009,5.392441263,5.111668552,4.801227719
471,47.0009,5.566122129,6.436570889,3.98669407
472,47.1009,6.881448486,6.712359025,3.664165252
473,47.2009,5.888718773,5.737638727,2.562951798
474,47.3009,6.205323871,4.598573847,5.808422203
475,47.4009,6.119493602,5.48686521,5.438346338
476,47.501,8.010146552,5.104737915,3.055273394
477,47.601,6.814869409,5.558481881,5.165512027
478,47.701,7.423092669,5.165052867,5.387214223
479,47.801,6.606456425,5.974742286,4.245035999
480,47.901,6.716154223,5.121388088,5.60619977
481,48.001,6.960905727,5.08559766,4.772982797
482,48.101,6.294007415,6.070714901,3.970615007
483,48.201,6.901326843,4.838350467,2.878811316
484,48.301,6.292260647,5.242797881,2.621265318
485,48.401,6.869728105,5.149030541,2.364583595
486,48.501,5.456198831,5.780812078,2.392680225
487,48.601,7.10355252,5.21115466,2.369345618
488,48.701,6.292749817,5.13403006,3.492434578
489,48.801,7.787823118,5.199746215,2.828179878
490,48.901,7.876045638,6.094896343,3.808245779
491,49.001,6.337383198,6.293071296,3.241729212
492,49.101,5.747089756,7.608778882,2.715687437
493,49.201,6.779330383,7.417742051,2.708318841
494,49.301,5.819757051,8.014735024,2.52725889
495,49.401,6.370327295,8.262985917,2.558465277
496,49.501,7.104569035,6.450206886,3.264101081
497,49.601,6.147531288,5.802600441,3.344117063
498,49.701,6.034949377,6.800484377,2.539884235
499,49.801,6.697048099,6.248416008,2.959000549
500,49.901,5.94600949,5.595138077,2.356090401
501,50.001,5.992569881,6.359247444,2.379802861
502,50.101,6.488018841,5.63919712,2.75326789
503,50.201,6.313128252,5.227519964,2.218322313
